id,address,address_type,street,street_type,street_dir,x,y,report_date,time_start,time_end,crime_type_id,arrested,l1_code
3265,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-06-06 00:00:00.000000,2332,2332,4,TRUE,
3266,800 HIAWATHA BLVD E,StreetAddress,HIAWATHA,BLVD,E,933173.5893,1122056.881,2022-02-16 00:00:00.000000,1630,1816,2,FALSE,Motor Vehicle
3267,800 HIAWATHA BLVD E,StreetAddress,HIAWATHA,BLVD,E,933173.5893,1122056.881,2022-06-01 00:00:00.000000,1640,1157,1,FALSE,All Other
3268,800 HIAWATHA BLVD E,StreetAddress,HIAWATHA,BLVD,E,933173.5893,1122056.881,2022-07-15 00:00:00.000000,1600,1300,2,FALSE,Motor Vehicle
3269,800 HIAWATHA BLVD W,StreetAddress,HIAWATHA,BLVD,W,928527.0142,1115627.199,2022-01-11 00:00:00.000000,0,1030,1,FALSE,From Motor Vehicle
3270,800 HIGHLAND ST,StreetAddress,HIGHLAND,ST, ,938299.3304,1116366.778,2022-04-22 00:00:00.000000,2125,2128,5,TRUE,
3271,800 HIAWATHA BLVD W,StreetAddress,HIAWATHA,BLVD,W,928527.0142,1115627.199,2022-05-03 00:00:00.000000,2000,1200,1,FALSE,Of MV Parts/Accessories
3272,800 HIGHLAND ST,StreetAddress,HIGHLAND,ST, ,938299.3304,1116366.778,2022-03-31 00:00:00.000000,900,900,4,FALSE,All Other
3273,800 HIGHLAND ST,StreetAddress,HIGHLAND,ST, ,938299.3304,1116366.778,2022-07-07 00:00:00.000000,1830,1830,3,FALSE,From Building
3274,800 HIGHLAND ST,StreetAddress,HIGHLAND,ST, ,938299.3304,1116366.778,2022-01-25 00:00:00.000000,1425,1425,5,TRUE,
3275,800 HIGHLAND ST,StreetAddress,HIGHLAND,ST, ,938299.3304,1116366.778,2022-06-21 00:00:00.000000,1400,1400,1,FALSE,From Building
3276,800 JAMES ST,StreetAddress,JAMES,ST, ,938616.149,1113906.955,2022-03-11 00:00:00.000000,912,912,4,TRUE,From Building
3277,800 JAMES ST,StreetAddress,JAMES,ST, ,938616.149,1113906.955,2022-02-04 00:00:00.000000,1852,1852,1,FALSE,All Other
3278,800 KIRKPATRICK ST,StreetAddress,KIRKPATRICK,ST, ,935414.0875,1119141.963,2022-03-17 00:00:00.000000,1610,1624,5,FALSE,
3279,800 KIRKPATRICK ST,StreetAddress,KIRKPATRICK,ST, ,935414.0875,1119141.963,2022-05-26 00:00:00.000000,2236,2236,5,FALSE,
3280,800 HIGHLAND ST,StreetAddress,HIGHLAND,ST, ,938299.3304,1116366.778,2022-05-23 00:00:00.000000,1520,1521,5,FALSE,
3281,800 LANCASTER AVE,StreetAddress,LANCASTER,AVE, ,943220.8543,1106730.715,2022-04-09 00:00:00.000000,100,1120,1,FALSE,From Motor Vehicle
3282,800 KIRKPATRICK ST,StreetAddress,KIRKPATRICK,ST, ,935414.0875,1119141.963,2022-04-30 00:00:00.000000,125,125,5,FALSE,
3283,800 LANCASTER AVE,StreetAddress,LANCASTER,AVE, ,943220.8543,1106730.715,2022-06-29 00:00:00.000000,2130,800,1,FALSE,From Motor Vehicle
3284,800 LIVINGSTON AVE,StreetAddress,LIVINGSTON,AVE, ,942216.6704,1106656.349,2022-01-13 00:00:00.000000,1045,1045,1,FALSE,From Motor Vehicle
3285,800 LIVINGSTON AVE,StreetAddress,LIVINGSTON,AVE, ,942216.6704,1106656.349,2022-05-19 00:00:00.000000,359,359,3,FALSE,
3286,800 LIVINGSTON AVE,StreetAddress,LIVINGSTON,AVE, ,942216.6704,1106656.349,2022-01-13 00:00:00.000000,800,1030,1,FALSE,From Motor Vehicle
3287,800 LIVINGSTON AVE,StreetAddress,LIVINGSTON,AVE, ,942216.6704,1106656.349,2022-04-01 00:00:00.000000,1213,1213,1,FALSE,From Motor Vehicle
3288,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-04-11 00:00:00.000000,1130,800,3,FALSE,From Building
3289,800 MIDLAND AVE,StreetAddress,MIDLAND,AVE, ,935034.4331,1104791.525,2022-03-21 00:00:00.000000,2300,1100,3,FALSE,All Other
3290,800 MIDLAND AVE,StreetAddress,MIDLAND,AVE, ,935034.4331,1104791.525,2022-07-07 00:00:00.000000,1545,1545,5,TRUE,
3291,800 N ALVORD ST,StreetAddress,ALVORD,ST, ,934464.45,1117471.801,2022-02-05 00:00:00.000000,2200,800,1,FALSE,From Motor Vehicle
3292,800 LIVINGSTON AVE,StreetAddress,LIVINGSTON,AVE, ,942216.6704,1106656.349,2022-01-23 00:00:00.000000,945,945,1,FALSE,From Motor Vehicle
3293,800 N CLINTON ST,StreetAddress,CLINTON,ST, ,933970.2986,1115495.094,2022-05-03 00:00:00.000000,700,900,1,FALSE,From Motor Vehicle
3294,800 N CLINTON ST,StreetAddress,CLINTON,ST, ,933970.2986,1115495.094,2022-04-15 00:00:00.000000,2200,700,1,FALSE,Of MV Parts/Accessories
3295,800 FIRST NORTH ST,StreetAddress,FIRST NORTH,ST, ,935895.6054,1118892.97,2022-05-15 00:00:00.000000,740,740,1,FALSE,All Other
3296,800 FIRST NORTH ST,StreetAddress,FIRST NORTH,ST, ,935895.6054,1118892.97,2022-07-20 00:00:00.000000,2303,2303,1,TRUE,
3297,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-05-14 00:00:00.000000,1724,1724,5,FALSE,
3298,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-07-11 00:00:00.000000,1100,1300,3,FALSE,
3299,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-07-04 00:00:00.000000,1200,1530,3,FALSE,From Building
3300,800 N MCBRIDE ST,StreetAddress,MCBRIDE,ST, ,936613.9542,1114511.478,2022-07-17 00:00:00.000000,812,812,3,FALSE,From Building
3301,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-05-13 00:00:00.000000,442,442,3,FALSE,From Building
3302,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-05-06 00:00:00.000000,500,123,5,FALSE,
3303,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-07-21 00:00:00.000000,1711,1711,5,TRUE,
3304,800 OAK ST,StreetAddress,OAK,ST, ,939744.0539,1116466.589,2022-06-23 00:00:00.000000,115,115,4,FALSE,Motor Vehicle
3305,800 OSTROM AVE,StreetAddress,OSTROM,AVE, ,941880.0045,1106631.476,2022-08-14 00:00:00.000000,617,617,1,FALSE,
3306,800 OSTROM AVE,StreetAddress,OSTROM,AVE, ,941880.0045,1106631.476,2022-05-17 00:00:00.000000,2359,900,3,FALSE,From Building
3307,800 OSTROM AVE,StreetAddress,OSTROM,AVE, ,941880.0045,1106631.476,2022-05-20 00:00:00.000000,0,1202,1,FALSE,From Motor Vehicle
3308,800 OSTROM AVE,StreetAddress,OSTROM,AVE, ,941880.0045,1106631.476,2022-04-16 00:00:00.000000,634,634,3,FALSE,From Building
3309,800 OSTROM AVE,StreetAddress,OSTROM,AVE, ,941880.0045,1106631.476,2022-01-14 00:00:00.000000,0,0,3,FALSE,From Building
3310,800 PARK AVE,StreetAddress,PARK,AVE, ,929639.5448,1112348.569,2022-03-23 00:00:00.000000,1300,1400,1,FALSE,All Other
3311,800 PARK ST,StreetAddress,PARK,ST, ,937369.316,1116447.008,2022-03-18 00:00:00.000000,1748,1748,3,FALSE,
3312,800 PARK ST,StreetAddress,PARK,ST, ,937369.316,1116447.008,2022-08-02 00:00:00.000000,1600,1600,1,FALSE,All Other
3313,800 N STATE ST,StreetAddress,STATE,ST, ,935369.1729,1114370.962,2022-01-06 00:00:00.000000,1156,1218,1,FALSE,Shoplifting
3314,800 PARK ST,StreetAddress,PARK,ST, ,937369.316,1116447.008,2022-05-30 00:00:00.000000,2120,2120,5,FALSE,
3315,800 POND ST,StreetAddress,POND,ST, ,936298.0348,1118660.805,2022-03-19 00:00:00.000000,1900,2018,3,FALSE,From Building
3316,800 PARK ST,StreetAddress,PARK,ST, ,937369.316,1116447.008,2022-01-31 00:00:00.000000,1805,1809,2,FALSE,Of MV Parts/Accessories
3317,800 POND ST,StreetAddress,POND,ST, ,936298.0348,1118660.805,2022-08-11 00:00:00.000000,443,443,4,FALSE,All Other
3318,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-06-15 00:00:00.000000,1800,640,3,FALSE,From Building
3319,800 N STATE ST,StreetAddress,STATE,ST, ,935369.1729,1114370.962,2022-03-24 00:00:00.000000,2235,2235,5,FALSE,
3320,800 SOUTH AVE,StreetAddress,SOUTH,AVE, ,933756.3183,1104435.885,2022-01-23 00:00:00.000000,915,945,1,FALSE,From Motor Vehicle
3321,800 N SALINA ST,StreetAddress,SALINA,ST, ,934921.477,1115903.633,2022-07-25 00:00:00.000000,730,1030,3,FALSE,From Building
3322,800 SPENCER ST,StreetAddress,SPENCER,ST, ,930094.9644,1114242.553,2022-02-17 00:00:00.000000,1300,1300,1,FALSE,From Motor Vehicle
3323,800 SALT SPRINGS RD,StreetAddress,SALT SPRINGS,RD, ,948504.1276,1110282.451,2022-03-04 00:00:00.000000,1055,1055,5,FALSE,
3324,800 S WEST ST,StreetAddress,WEST,ST, ,933986.6738,1108851.278,2022-06-09 00:00:00.000000,1740,1740,5,FALSE,
3325,800 SUMNER AVE,StreetAddress,SUMNER,AVE, ,942551.0575,1106681.058,2022-01-18 00:00:00.000000,1919,1919,4,TRUE,Motor Vehicle
3326,800 SUMNER AVE,StreetAddress,SUMNER,AVE, ,942551.0575,1106681.058,2022-01-23 00:00:00.000000,2200,100,1,FALSE,From Motor Vehicle
3327,800 SPENCER ST,StreetAddress,SPENCER,ST, ,930094.9644,1114242.553,2022-05-21 00:00:00.000000,450,504,3,FALSE,From Building
3328,800 SUMNER AVE,StreetAddress,SUMNER,AVE, ,942551.0575,1106681.058,2022-04-12 00:00:00.000000,2005,305,1,FALSE,From Motor Vehicle
3329,800 SUMNER AVE,StreetAddress,SUMNER,AVE, ,942551.0575,1106681.058,2022-05-09 00:00:00.000000,2200,1200,3,FALSE,All Other
3330,800 UNIVERSITY AVE,StreetAddress,UNIVERSITY,AVE, ,940190.8126,1108537.208,2022-06-19 00:00:00.000000,2150,2210,5,FALSE,
3331,800 SUNNYCREST RD,StreetAddress,SUNNYCREST,RD, ,947860.1224,1115949.834,2022-06-12 00:00:00.000000,1118,259,1,FALSE,All Other
3332,800 UNIVERSITY AVE,StreetAddress,UNIVERSITY,AVE, ,940190.8126,1108537.208,2022-03-19 00:00:00.000000,1300,1300,1,FALSE,From Building
3333,800 SUMNER AVE,StreetAddress,SUMNER,AVE, ,942551.0575,1106681.058,2022-06-18 00:00:00.000000,10,1000,1,FALSE,All Other
3334,800 UNIVERSITY AVE,StreetAddress,UNIVERSITY,AVE, ,940190.8126,1108537.208,2022-01-19 00:00:00.000000,1923,1923,1,FALSE,All Other
3335,800 VALLEY DR,StreetAddress,VALLEY,DR, ,934411.3853,1096646.214,2022-05-15 00:00:00.000000,2345,1816,1,FALSE,Of MV Parts/Accessories
3336,800 VALLEY DR,StreetAddress,VALLEY,DR, ,934411.3853,1096646.214,2022-02-25 00:00:00.000000,1804,1804,5,FALSE,
3337,800 VINE ST,StreetAddress,VINE,ST, ,942231.8529,1115680.543,2022-03-22 00:00:00.000000,806,806,5,FALSE,
3338,800 VINE ST,StreetAddress,VINE,ST, ,942231.8529,1115680.543,2022-06-19 00:00:00.000000,208,208,1,FALSE,All Other
3339,800 VINE ST,StreetAddress,VINE,ST, ,942231.8529,1115680.543,2022-01-14 00:00:00.000000,1800,1130,1,FALSE,All Other
3340,800 W BELDEN AVE,StreetAddress,BELDEN,AVE, ,932526.5042,1113349.315,2022-07-20 00:00:00.000000,110,113,5,FALSE,
3341,800 W BELDEN AVE,StreetAddress,BELDEN,AVE, ,932526.5042,1113349.315,2022-06-30 00:00:00.000000,900,2200,1,FALSE,All Other
3342,800 VAN RENSSELAER ST,StreetAddress,VAN RENSSELAER,ST, ,930611.1522,1115681.407,2022-06-02 00:00:00.000000,1805,1321,1,FALSE,All Other
3343,800 WALNUT AVE,StreetAddress,WALNUT,AVE, ,940790.1909,1108917.754,2022-03-19 00:00:00.000000,1400,1600,3,FALSE,From Building
3344,800 WALNUT AVE,StreetAddress,WALNUT,AVE, ,940790.1909,1108917.754,2022-04-02 00:00:00.000000,230,250,1,FALSE,From Building
3345,800 W COLVIN ST,StreetAddress,COLVIN,ST, ,934955.7188,1101924.954,2022-06-11 00:00:00.000000,140,140,5,TRUE,
3346,800 W COLVIN ST,StreetAddress,COLVIN,ST, ,934955.7188,1101924.954,2022-04-14 00:00:00.000000,252,1400,1,TRUE,All Other
