id,address,address_type,arrested,larceny_code,report_date,street,street_dir,street_type,time_end,time_start,x,y,crime_type_id
926,100 TAFT AVE,StreetAddress,false,From Motor Vehicle,2022-02-08 00:00:00.000000,TAFT, ,AVE,330,300,-76.1146511861582,43.0725146939426,1
927,,,false,From Building,2022-07-03 00:00:00.000000,, ,,920,900,0,0,3
928,"300 RENWICK, 13210",PointAddress,false,All Other,2022-07-22 00:00:00.000000,RENWICK, ,,1230,1230,-76.14032620801,43.0414293822865,1
929,100 TRINITY PL,StreetAddress,false,Of Bicycle,2022-06-28 00:00:00.000000,TRINITY, ,PL,800,1900,-76.1215601784401,43.0398845591099,1
930,"300 N MIDLER, 13206",PointAddress,false,All Other,2022-06-14 00:00:00.000000,MIDLER, ,,643,643,-76.105050715859,43.0738113756005,1
931,100 TWIN HILLS DR,StreetAddress,false,From Motor Vehicle,2022-07-10 00:00:00.000000,TWIN HILLS, ,DR,326,326,-76.1748033227702,43.0255740122349,1
932,100 TYLER CT,StreetAddress,false,All Other,2022-01-02 00:00:00.000000,TYLER, ,CT,0,0,-76.143160002081,43.0426680865955,1
933,100 TYLER CT,StreetAddress,false,All Other,2022-05-14 00:00:00.000000,TYLER, ,CT,128,128,-76.143160002081,43.0426680865955,4
934,100 TYLER CT,StreetAddress,false,All Other,2022-05-26 00:00:00.000000,TYLER, ,CT,1200,1200,-76.143160002081,43.0426680865955,3
935,100 UNION AVE,StreetAddress,false,From Building,2022-02-24 00:00:00.000000,UNION, ,AVE,1130,1000,-76.1491672809155,43.0556777787315,1
936,100 VALE ST,StreetAddress,false,All Other,2022-07-31 00:00:00.000000,VALE, ,ST,0,1200,-76.156509223608,43.0164938640294,1
937,100 VICTORIA PL,StreetAddress,false,From Motor Vehicle,2022-08-06 00:00:00.000000,VICTORIA, ,PL,1700,1645,-76.119197632837,43.0405630324133,1
938,100 VILLAGE DR,StreetAddress,false,From Motor Vehicle,2022-05-12 00:00:00.000000,VILLAGE, ,DR,1026,700,-76.1181590613439,43.0707852210484,1
939,100 VILLAGE DR,StreetAddress,false,Pocket Picking,2022-05-16 00:00:00.000000,VILLAGE, ,DR,150,150,-76.1181590613439,43.0707852210484,1
940,"300 S LOWELL, 13204",PointAddress,false,,2022-02-14 00:00:00.000000,LOWELL, ,,430,430,-76.1807226945942,43.0464423837461,3
941,100 W BISSELL ST,StreetAddress,true,,2022-07-14 00:00:00.000000,BISSELL, ,ST,936,930,-76.1589223860776,43.0258924247172,5
942,"300 S LOWELL, 13204",PointAddress,true,All Other,2022-01-03 00:00:00.000000,LOWELL, ,,2232,2232,-76.1807226945942,43.0464423837461,4
943,100 SMITH LN,StreetAddress,true,,2022-04-20 00:00:00.000000,SMITH, ,LN,840,830,-76.1367591280416,43.0222082092365,1
944,100 W ADAMS ST,StreetAddress,false,From Motor Vehicle,2022-06-16 00:00:00.000000,ADAMS, ,ST,700,1045,-76.1516265067566,43.0428307366056,1
945,100 W BORDEN AVE,StreetAddress,false,All Other,2022-01-02 00:00:00.000000,BORDEN, ,AVE,900,900,-76.1464803679001,43.0279311119198,3
946,100 W BORDEN AVE,StreetAddress,false,Motor Vehicle,2022-06-14 00:00:00.000000,BORDEN, ,AVE,1830,1830,-76.1464803679001,43.0279311119198,2
947,100 W CALTHROP AVE,StreetAddress,false,Motor Vehicle,2022-08-04 00:00:00.000000,CALTHROP, ,AVE,1000,900,-76.1412574470772,43.0162692318345,2
948,"300 SHERWOOD, 13203",PointAddress,false,All Other,2022-02-15 00:00:00.000000,SHERWOOD, ,,1831,1831,-76.1249047109516,43.0568553795231,1
949,100 W CALTHROP AVE,StreetAddress,false,,2022-01-04 00:00:00.000000,CALTHROP, ,AVE,1400,1053,-76.1412574470772,43.0162692318345,3
950,100 W CORNING AVE,StreetAddress,false,From Building,2022-07-23 00:00:00.000000,CORNING, ,AVE,600,100,-76.1421852279193,43.0188903533247,3
951,"300 STOLP, 13207",PointAddress,false,All Other,2022-04-06 00:00:00.000000,STOLP, ,,1603,1603,-76.1694726987247,43.0303953855181,1
952,100 W CORNING AVE,StreetAddress,true,,2022-05-09 00:00:00.000000,CORNING, ,AVE,2253,2253,-76.1421852279193,43.0188903533247,5
953,"300 TENNYSON, 13204",PointAddress,false,All Other,2022-01-28 00:00:00.000000,TENNYSON, ,,600,230,-76.1832876932467,43.046667383325,1
954,100 W COLVIN ST,StreetAddress,false,Motor Vehicle,2022-08-07 00:00:00.000000,COLVIN, ,ST,1000,2015,-76.1453866688643,43.0255694529829,2
955,"300 TENNYSON, 13204",PointAddress,false,From Building,2022-05-21 00:00:00.000000,TENNYSON, ,,200,200,-76.1832876932467,43.046667383325,3
956,100 W BISSELL ST,StreetAddress,false,All Other,2022-06-14 00:00:00.000000,BISSELL, ,ST,2256,2256,-76.1589223860776,43.0258924247172,1
957,100 W CORNING AVE,StreetAddress,false,Motor Vehicle,2022-03-03 00:00:00.000000,CORNING, ,AVE,1730,1730,-76.1421852279193,43.0188903533247,2
958,100 W DIVISION ST,StreetAddress,false,Of Bicycle,2022-01-17 00:00:00.000000,DIVISION, ,ST,1600,1600,-76.1554842606093,43.0595946406004,1
959,"300 UNIVERSITY, 13210",PointAddress,false,Of Bicycle,2022-07-11 00:00:00.000000,UNIVERSITY, ,,1513,915,-76.1349307087466,43.0479993816135,1
960,"300 UNIVERSITY, 13210",PointAddress,false,From Motor Vehicle,2022-06-06 00:00:00.000000,UNIVERSITY, ,,600,2030,-76.1349307087466,43.0479993816135,1
961,"300 UNIVERSITY, 13210",PointAddress,false,All Other,2022-06-06 00:00:00.000000,UNIVERSITY, ,,703,2100,-76.1349307087466,43.0479993816135,1
962,100 W JEFFERSON ST,StreetAddress,false,,2022-03-06 00:00:00.000000,JEFFERSON, ,ST,240,240,-76.1523155724096,43.0471333101665,1
963,100 W FAYETTE ST,StreetAddress,false,From Motor Vehicle,2022-04-07 00:00:00.000000,FAYETTE, ,ST,730,1835,-76.1523026071928,43.0487707858576,1
964,100 W JEFFERSON ST,StreetAddress,false,Of Bicycle,2022-06-10 00:00:00.000000,JEFFERSON, ,ST,1040,1400,-76.1523155724096,43.0471333101665,1
965,100 W GENESEE ST,StreetAddress,false,,2022-07-17 00:00:00.000000,GENESEE, ,ST,344,344,-76.1522576107642,43.0513537884029,5
966,100 W KENNEDY ST,StreetAddress,false,All Other,2022-06-02 00:00:00.000000,KENNEDY, ,ST,1100,1,-76.1478071989525,43.0307138811375,1
967,100 W KENNEDY ST,StreetAddress,false,From Motor Vehicle,2022-05-09 00:00:00.000000,KENNEDY, ,ST,1141,1126,-76.1478071989525,43.0307138811375,1
968,100 W LAFAYETTE AVE,StreetAddress,true,All Other,2022-07-31 00:00:00.000000,LAFAYETTE, ,AVE,53,53,-76.1425807105565,43.0197191285743,4
969,100 W LYNHURST AVE,StreetAddress,false,All Other,2022-03-01 00:00:00.000000,LYNHURST, ,AVE,415,415,-76.1411900617172,43.0153691002891,4
970,100 W LAFAYETTE AVE,StreetAddress,false,All Other,2022-03-28 00:00:00.000000,LAFAYETTE, ,AVE,1553,1553,-76.1425807105565,43.0197191285743,1
971,100 W LAFAYETTE AVE,StreetAddress,false,From Motor Vehicle,2022-03-15 00:00:00.000000,LAFAYETTE, ,AVE,1945,1711,-76.1425807105565,43.0197191285743,1
972,100 W PLEASANT AVE,StreetAddress,false,,2022-06-29 00:00:00.000000,PLEASANT, ,AVE,500,100,-76.1414821599864,43.0172899179001,3
